symbol,trade_mode,in_market_watch,category
AUDCAD,FULL,0,FX Crosses
AUDCHF,FULL,0,FX Crosses
AUDJPY,FULL,0,FX Crosses
AUDNZD,FULL,0,FX Crosses
CADCHF,FULL,0,FX Crosses
CADJPY,FULL,1,FX Crosses
CHFJPY,FULL,0,FX Crosses
EURAUD,FULL,0,FX Crosses
EURCAD,FULL,0,FX Crosses
EURCHF,FULL,0,FX Crosses
EURGBP,FULL,1,FX Crosses
EURJPY,FULL,1,FX Crosses
EURNZD,FULL,0,FX Crosses
EURPLN,FULL,0,FX Crosses
GBPAUD,FULL,0,FX Crosses
GBPCAD,FULL,1,FX Crosses
GBPCHF,FULL,0,FX Crosses
GBPJPY,FULL,1,FX Crosses
GBPNZD,FULL,0,FX Crosses
NZDCAD,FULL,0,FX Crosses
NZDCHF,FULL,0,FX Crosses
NZDJPY,FULL,0,FX Crosses
AUDUSD,FULL,1,FX Majors
EURUSD,FULL,1,FX Majors
GBPUSD,FULL,1,FX Majors
NZDUSD,FULL,0,FX Majors
USDCAD,FULL,1,FX Majors
USDCHF,FULL,0,FX Majors
USDJPY,FULL,1,FX Majors
CHFSGD,FULL,0,FX Exotics
EURMXN,FULL,0,FX Exotics
EURNOK,FULL,0,FX Exotics
EURSEK,FULL,0,FX Exotics
EURSGD,FULL,0,FX Exotics
GBPSEK,FULL,0,FX Exotics
NOKJPY,FULL,0,FX Exotics
SGDJPY,FULL,0,FX Exotics
USDCLP,FULL,0,FX Exotics
USDDKK,FULL,0,FX Exotics
USDMXN,FULL,0,FX Exotics
USDNOK,FULL,0,FX Exotics
USDSEK,FULL,0,FX Exotics
USDSGD,FULL,0,FX Exotics
USDHKD,DISABLED,0,Indicates
USDILS,DISABLED,0,Indicates
USDSAR,DISABLED,0,Indicates
XAGUSD,FULL,0,Spot Metals
XAUUSD,FULL,1,Spot Metals
Alcoa,FULL,0,Stocks Materials
Adobe,FULL,0,Stocks Technologies
Amazon,FULL,0,Stocks Technologies
Apple,FULL,0,Stocks Technologies
American_Express,FULL,0,Stocks Finance
Boeing,CLOSEONLY,0,Stocks Industrials
Alibaba,FULL,0,Stocks Consumer Services
Banco_Santander,FULL,0,Stocks Finance
Bank_of_America,FULL,0,Stocks Finance
Bayer,FULL,0,Stocks Healthcare
Baidu,FULL,0,Stocks Technologies
BMW,FULL,0,Stocks Automobile industries
Citigroup,FULL,0,Stocks Finance
Caterpillar,FULL,0,Stocks Industrials
AT&T,FULL,0,Stocks Telecommunications
Cisco,FULL,0,Stocks Technologies
Daimler,FULL,0,Stocks Automobile industries
